date,region,positive
3/5/2020,AB,0
3/6/2020,AB,1
3/9/2020,AB,7
3/10/2020,AB,16
3/11/2020,AB,24
3/12/2020,AB,26
3/13/2020,AB,34
3/14/2020,AB,53
3/15/2020,AB,62
3/16/2020,AB,89
3/17/2020,AB,100
3/18/2020,AB,131
3/19/2020,AB,164
3/20/2020,AB,208
3/21/2020,AB,242
3/22/2020,AB,281
3/23/2020,AB,331
3/24/2020,AB,398
3/25/2020,AB,454
3/26/2020,AB,501
3/27/2020,AB,586
3/28/2020,AB,632
3/29/2020,AB,659
3/30/2020,AB,698
3/31/2020,AB,831
4/1/2020,AB,937
4/2/2020,AB,1049
4/3/2020,AB,1104
4/4/2020,AB,1153
4/5/2020,AB,1197
4/6/2020,AB,1227
4/7/2020,AB,1276
4/8/2020,AB,1307
4/9/2020,AB,1346
4/10/2020,AB,1398
4/11/2020,AB,1450
4/12/2020,AB,1519
4/13/2020,AB,1586
4/14/2020,AB,1714
4/15/2020,AB,1843
4/16/2020,AB,1985
4/17/2020,AB,2198
4/18/2020,AB,2385
4/19/2020,AB,2583
4/20/2020,AB,2772
4/21/2020,AB,3042
4/22/2020,AB,3335
4/23/2020,AB,3686
4/24/2020,AB,3926
4/25/2020,AB,4156
4/26/2020,AB,4362
4/27/2020,AB,4542
4/28/2020,AB,4803
4/29/2020,AB,5038
4/30/2020,AB,5266
5/1/2020,AB,5399
5/2/2020,AB,5516
5/3/2020,AB,5586
5/4/2020,AB,5662
5/5/2020,AB,5725
5/6/2020,AB,5790
5/7/2020,AB,5871
5/8/2020,AB,5951
5/9/2020,AB,6035
5/10/2020,AB,6108
5/11/2020,AB,6156
5/12/2020,AB,6227
5/13/2020,AB,6291
5/14/2020,AB,6352
5/15/2020,AB,6423
5/16/2020,AB,6477
5/17/2020,AB,6523
5/18/2020,AB,6562
5/19/2020,AB,6607
5/20/2020,AB,6634
5/21/2020,AB,6664
5/22/2020,AB,6691
5/23/2020,AB,6724
5/24/2020,AB,6753
5/25/2020,AB,6766
5/26/2020,AB,6785
5/27/2020,AB,6812
5/28/2020,AB,6843
5/29/2020,AB,6873
5/30/2020,AB,6894
5/31/2020,AB,6931
6/1/2020,AB,6953
6/2/2020,AB,6973
6/3/2020,AB,6991
6/4/2020,AB,7013
6/5/2020,AB,7053
6/6/2020,AB,7076
6/7/2020,AB,7110
6/8/2020,AB,7135
6/9/2020,AB,7174
6/10/2020,AB,7222
6/11/2020,AB,7267
6/12/2020,AB,7294
6/13/2020,AB,7331
6/14/2020,AB,7385
